algorithm,alloc_mode,n,trial,elapsed_ns,checksum
fast_slow,contiguous,10000,1,11100,4448715493785086629
fast_slow,contiguous,10000,2,11500,7883550857465161621
fast_slow,contiguous,10000,3,11699,16283166502922408854
fast_slow,contiguous,100000,1,163598,18332366451092626465
fast_slow,contiguous,100000,2,128098,7097431899453631273
fast_slow,contiguous,100000,3,120599,13654795543897159640
fast_slow,contiguous,1000000,1,1887881,4767455535831041461
fast_slow,contiguous,1000000,2,2162678,14470596660138189686
fast_slow,contiguous,1000000,3,1751383,12939262895505559493
fast_slow,malloc,10000,1,20800,4448713729189426671
fast_slow,malloc,10000,2,20300,7883547148490125930
fast_slow,malloc,10000,3,20199,16283167188235912809
fast_slow,malloc,100000,1,277097,18332367657036366010
fast_slow,malloc,100000,2,306797,7097432026802299721
fast_slow,malloc,100000,3,250097,13654795688371699640
fast_slow,malloc,1000000,1,3730763,4767454862045723390
fast_slow,malloc,1000000,2,3643963,14470594610550356662
fast_slow,malloc,1000000,3,3962960,12939260450292684293
fast_slow,shuffle,10000,1,66899,7065766065727950837
fast_slow,shuffle,10000,2,63800,675792772319992279
fast_slow,shuffle,10000,3,63899,15791858422983599502
fast_slow,shuffle,100000,1,2068379,5733085804253693957
fast_slow,shuffle,100000,2,1499985,8557486711065138931
fast_slow,shuffle,100000,3,1391486,6235302031948857137
fast_slow,shuffle,1000000,1,90279997,11255614416819480276
fast_slow,shuffle,1000000,2,87063829,14642824256602646579
fast_slow,shuffle,1000000,3,82749373,17337108131839209550
fast_slow,page_spread,10000,1,865891,4448715622908781100
fast_slow,page_spread,10000,2,791492,7883549523380037033
fast_slow,page_spread,10000,3,838292,16283165294481985962
fast_slow,page_spread,100000,1,8022619,18332366776589193072
fast_slow,page_spread,100000,2,8592114,7097433207872661586
fast_slow,page_spread,100000,3,8288518,13654796835140252835
two_pass,contiguous,10000,1,16400,4448716403426549413
two_pass,contiguous,10000,2,16000,7883547666105194645
two_pass,contiguous,10000,3,15799,16283167701111303318
two_pass,contiguous,100000,1,182698,18332366959488146465
two_pass,contiguous,100000,2,168899,7097431948398744361
two_pass,contiguous,100000,3,166398,13654795627189948376
two_pass,contiguous,1000000,1,2740972,4767455258592396725
two_pass,contiguous,1000000,2,2478475,14470595851932891766
two_pass,contiguous,1000000,3,2546874,12939263600246036165
two_pass,malloc,10000,1,25899,4448714076213347567
two_pass,malloc,10000,2,25800,7883546946957935466
two_pass,malloc,10000,3,25800,16283167115024676713
two_pass,malloc,100000,1,279297,18332364776258695098
two_pass,malloc,100000,2,266497,7097434628416148553
two_pass,malloc,100000,3,391996,13654799406668122296
two_pass,malloc,1000000,1,4488755,4767454697040689662
two_pass,malloc,1000000,2,4633554,14470594573457046454
two_pass,malloc,1000000,3,4449556,12939260551676548869
two_pass,shuffle,10000,1,98899,7065769064628286453
two_pass,shuffle,10000,2,96899,675793630112157143
two_pass,shuffle,10000,3,96199,15791855441158664590
two_pass,shuffle,100000,1,1942481,5733085797733167109
two_pass,shuffle,100000,2,1949680,8557486713141792499
two_pass,shuffle,100000,3,1813582,6235302029847000881
two_pass,shuffle,1000000,1,132174280,11255614776329387732
two_pass,shuffle,1000000,2,128773814,14642821663860482099
two_pass,shuffle,1000000,3,127138031,17337104093151627342
two_pass,page_spread,10000,1,1261787,4448715753317294636
two_pass,page_spread,10000,2,1242587,7883549654730171817
two_pass,page_spread,10000,3,1170088,16283165437641707946
two_pass,page_spread,100000,1,12072480,18332366440673808240
two_pass,page_spread,100000,2,12468475,7097432994028038226
two_pass,page_spread,100000,3,12091980,13654796638412846243
