block_id,left,top,level,block_size,is_leaf
0,0,0,4,16,1
1,16,0,3,8,1
2,24,0,2,4,1
3,28,0,2,4,1
4,24,4,2,4,1
5,28,4,2,4,1
6,16,8,3,8,1
7,24,8,3,8,1
8,0,16,4,16,1
9,16,16,2,4,1
10,20,16,2,4,1
11,16,20,2,4,1
12,20,20,2,4,1
13,24,16,3,8,1
14,16,24,2,4,1
15,20,24,2,4,1
16,16,28,2,4,1
17,20,28,2,4,1
18,24,24,3,8,1
19,32,0,2,4,1
20,36,0,2,4,1
21,32,4,2,4,1
22,36,4,2,4,1
23,40,0,3,8,1
24,32,8,3,8,1
25,40,8,3,8,1
26,48,0,4,16,1
27,32,16,3,8,1
28,40,16,3,8,1
29,32,24,2,4,1
30,36,24,2,4,1
31,32,28,2,4,1
32,36,28,2,4,1
33,40,24,2,4,1
34,44,24,2,4,1
35,40,28,2,4,1
36,44,28,2,4,1
37,48,16,3,8,1
38,56,16,3,8,1
39,48,24,3,8,1
40,56,24,3,8,1
41,0,32,3,8,1
42,8,32,3,8,1
43,0,40,3,8,1
44,8,40,2,4,1
45,12,40,2,4,1
46,8,44,2,4,1
47,12,44,2,4,1
48,16,32,3,8,1
49,24,32,3,8,1
50,16,40,2,4,1
51,20,40,2,4,1
52,16,44,2,4,1
53,20,44,2,4,1
54,24,40,3,8,1
55,0,48,3,8,1
56,8,48,3,8,1
57,0,56,3,8,1
58,8,56,2,4,1
59,12,56,2,4,1
60,8,60,2,4,1
61,12,60,2,4,1
62,16,48,4,16,1
63,32,32,2,4,1
64,36,32,2,4,1
65,32,36,2,4,1
66,36,36,2,4,1
67,40,32,3,8,1
68,32,40,3,8,1
69,40,40,3,8,1
70,48,32,4,16,1
71,32,48,4,16,1
72,48,48,3,8,1
73,56,48,3,8,1
74,48,56,3,8,1
75,56,56,3,8,1
76,64,0,4,16,1
77,80,0,2,4,1
78,84,0,2,4,1
79,80,4,2,4,1
80,84,4,2,4,1
81,88,0,2,4,1
82,92,0,2,4,1
83,88,4,2,4,1
84,92,4,2,4,1
85,80,8,3,8,1
86,88,8,3,8,1
87,64,16,2,4,1
88,68,16,2,4,1
89,64,20,2,4,1
90,68,20,2,4,1
91,72,16,3,8,1
92,64,24,2,4,1
93,68,24,2,4,1
94,64,28,2,4,1
95,68,28,2,4,1
96,72,24,3,8,1
97,80,16,3,8,1
98,88,16,3,8,1
99,80,24,2,4,1
100,84,24,2,4,1
101,80,28,2,4,1
102,84,28,2,4,1
103,88,24,2,4,1
104,92,24,2,4,1
105,88,28,2,4,1
106,92,28,2,4,1
107,96,0,3,8,1
108,104,0,3,8,1
