channel,block_size,frequency_band,total_coeffs,nonzero_coeffs,nonzero_ratio,mean_abs_level,max_abs_level
0,4,low,154,154,1.000000,105.454545,320
0,4,high,173,173,1.000000,147.052023,640
0,8,low,93,93,1.000000,137.634409,320
0,8,high,161,161,1.000000,165.465839,560
0,16,low,17,17,1.000000,197.647059,560
0,16,high,80,80,1.000000,255.000000,2240
1,8,high,3,3,1.000000,160.000000,160
1,16,high,6,6,1.000000,160.000000,160
2,4,high,13,13,1.000000,160.000000,160
2,8,high,29,29,1.000000,160.000000,160
2,16,high,11,11,1.000000,203.636364,320
