k,recursive,reference,diff,abs_diff
0,1024,1024,0,0
1,1446,1446,0,0
2,1442,1441,1,1
3,1435,1432,3,3
4,1426,1420,6,6
5,1413,1405,8,8
6,1397,1386,11,11
7,1379,1364,15,15
8,1358,1338,20,20
9,1334,1309,25,25
10,1307,1277,30,30
11,1277,1242,35,35
12,1245,1204,41,41
13,1209,1163,46,46
14,1171,1119,52,52
15,1130,1073,57,57
16,1086,1024,62,62
17,1039,973,66,66
18,990,919,71,71
19,938,863,75,75
20,882,805,77,77
21,824,745,79,79
22,765,683,82,82
23,704,619,85,85
24,642,554,88,88
25,578,488,90,90
26,513,420,93,93
27,447,352,95,95
28,379,283,96,96
29,310,212,98,98
30,239,142,97,97
31,168,71,97,97
32,98,0,98,98
33,27,-71,98,98
34,-44,-142,98,98
35,-115,-212,97,97
36,-185,-283,98,98
37,-256,-352,96,96
38,-327,-420,93,93
39,-396,-488,92,92
40,-464,-554,90,90
41,-530,-619,89,89
42,-595,-683,88,88
43,-659,-745,86,86
44,-721,-805,84,84
45,-782,-863,81,81
46,-841,-919,78,78
47,-899,-973,74,74
48,-955,-1024,69,69
49,-1007,-1073,66,66
50,-1056,-1119,63,63
51,-1103,-1163,60,60
52,-1147,-1204,57,57
53,-1188,-1242,54,54
54,-1226,-1277,51,51
55,-1261,-1309,48,48
56,-1294,-1338,44,44
57,-1324,-1364,40,40
58,-1351,-1386,35,35
59,-1375,-1405,30,30
60,-1396,-1420,24,24
61,-1414,-1432,18,18
62,-1430,-1441,11,11
63,-1442,-1446,4,4
64,-1452,-1448,-4,4
65,-1459,-1446,-13,13
66,-1464,-1441,-23,23
67,-1465,-1432,-33,33
68,-1464,-1420,-44,44
69,-1459,-1405,-54,54
70,-1452,-1386,-66,66
71,-1442,-1364,-78,78
72,-1430,-1338,-92,92
73,-1414,-1309,-105,105
74,-1396,-1277,-119,119
75,-1375,-1242,-133,133
76,-1351,-1204,-147,147
77,-1324,-1163,-161,161
78,-1294,-1119,-175,175
79,-1261,-1073,-188,188
80,-1226,-1024,-202,202
81,-1188,-973,-215,215
82,-1147,-919,-228,228
83,-1103,-863,-240,240
84,-1056,-805,-251,251
85,-1007,-745,-262,262
86,-955,-683,-272,272
87,-899,-619,-280,280
88,-841,-554,-287,287
89,-782,-488,-294,294
90,-721,-420,-301,301
91,-659,-352,-307,307
92,-595,-283,-312,312
93,-530,-212,-318,318
94,-464,-142,-322,322
95,-396,-71,-325,325
96,-327,0,-327,327
97,-256,71,-327,327
98,-185,142,-327,327
99,-115,212,-327,327
100,-44,283,-327,327
101,27,352,-325,325
102,98,420,-322,322
103,168,488,-320,320
104,239,554,-315,315
105,310,619,-309,309
106,379,683,-304,304
107,447,745,-298,298
108,513,805,-292,292
109,578,863,-285,285
110,642,919,-277,277
111,704,973,-269,269
112,765,1024,-259,259
113,824,1073,-249,249
114,882,1119,-237,237
115,938,1163,-225,225
116,990,1204,-214,214
117,1039,1242,-203,203
118,1086,1277,-191,191
119,1130,1309,-179,179
120,1171,1338,-167,167
121,1209,1364,-155,155
122,1245,1386,-141,141
123,1277,1405,-128,128
124,1307,1420,-113,113
125,1334,1432,-98,98
126,1358,1441,-83,83
127,1379,1446,-67,67
