p,entropy_bits,expected_exp_golomb_len,overhead_bits,tail_probability,v_max
0.05,5.72793914,7.42778740,1.69984826,9.840637878686e-13,538
0.10,4.68995594,5.70530328,1.01534734,9.242298322399e-13,262
0.15,4.06560203,4.75715643,0.69155440,8.523859786184e-13,170
0.20,3.60964047,4.11578142,0.50614094,9.619630419042e-13,123
0.25,3.24511250,3.63771260,0.39260010,7.602257032015e-13,96
0.30,2.93763633,3.26023528,0.32259895,8.272697060642e-13,77
0.35,2.66876587,2.95042187,0.28165600,6.908252164761e-13,64
0.40,2.42737649,2.68892784,0.26155135,6.285195213566e-13,54
0.45,2.20616545,2.46345368,0.25728823,6.266808246307e-13,46
0.50,2.00000000,2.26568604,0.26568604,9.094947017729e-13,39
0.55,1.80504446,2.08973596,0.28469149,7.285141342416e-13,34
0.60,1.61825099,1.93127895,0.31302796,4.611686018427e-13,30
0.65,1.43702778,1.78703708,0.35000930,4.895952520038e-13,26
0.70,1.25898700,1.65443743,0.39545043,9.414317882700e-13,22
0.75,1.08170417,1.53137207,0.44966791,9.094947017729e-13,19
0.80,0.90241012,1.41602560,0.51361548,2.621440000000e-13,17
0.85,0.71745918,1.30675342,0.58929424,4.378938903809e-13,14
0.90,0.52110622,1.20200020,0.68089398,1.000000000000e-12,11
0.95,0.30147048,1.10025000,0.79877952,9.765625000000e-14,9
