sequence_name,precision,weight_rcp,step,input,float_avg,fixed_avg,abs_error
constant100,0,8,0,100,12.500000000,12.000000000,0.500000000
constant100,0,8,1,100,23.437500000,23.000000000,0.437500000
constant100,0,8,2,100,33.007812500,33.000000000,0.007812500
constant100,0,8,3,100,41.381835938,41.000000000,0.381835938
constant100,0,8,4,100,48.709106445,48.000000000,0.709106445
constant100,0,8,5,100,55.120468140,54.000000000,1.120468140
constant100,0,8,6,100,60.730409622,60.000000000,0.730409622
constant100,0,8,7,100,65.639108419,65.000000000,0.639108419
constant100,0,8,8,100,69.934219867,69.000000000,0.934219867
constant100,0,8,9,100,73.692442384,73.000000000,0.692442384
constant100,0,8,10,100,76.980887086,76.000000000,0.980887086
constant100,0,8,11,100,79.858276200,79.000000000,0.858276200
constant100,0,8,12,100,82.375991675,82.000000000,0.375991675
constant100,0,8,13,100,84.578992716,84.000000000,0.578992716
constant100,0,8,14,100,86.506618626,86.000000000,0.506618626
constant100,0,8,15,100,88.193291298,88.000000000,0.193291298
constant100,0,8,16,100,89.669129886,89.000000000,0.669129886
constant100,0,8,17,100,90.960488650,90.000000000,0.960488650
constant100,0,8,18,100,92.090427569,91.000000000,1.090427569
constant100,0,8,19,100,93.079124123,92.000000000,1.079124123
constant100,0,8,20,100,93.944233607,93.000000000,0.944233607
constant100,0,8,21,100,94.701204406,94.000000000,0.701204406
constant100,0,8,22,100,95.363553856,95.000000000,0.363553856
constant100,0,8,23,100,95.943109624,96.000000000,0.056890376
constant100,0,8,24,100,96.450220921,96.000000000,0.450220921
constant100,0,8,25,100,96.893943306,96.000000000,0.893943306
constant100,0,8,26,100,97.282200392,96.000000000,1.282200392
constant100,0,8,27,100,97.621925343,96.000000000,1.621925343
constant100,0,8,28,100,97.919184675,96.000000000,1.919184675
constant100,0,8,29,100,98.179286591,96.000000000,2.179286591
constant100,0,8,30,100,98.406875767,96.000000000,2.406875767
constant100,0,8,31,100,98.606016296,96.000000000,2.606016296
constant100,0,8,32,100,98.780264259,96.000000000,2.780264259
constant100,0,8,33,100,98.932731227,96.000000000,2.932731227
constant100,0,8,34,100,99.066139823,96.000000000,3.066139823
constant100,0,8,35,100,99.182872346,96.000000000,3.182872346
constant100,0,8,36,100,99.285013302,96.000000000,3.285013302
constant100,0,8,37,100,99.374386640,96.000000000,3.374386640
constant100,0,8,38,100,99.452588310,96.000000000,3.452588310
constant100,0,8,39,100,99.521014771,96.000000000,3.521014771
constant100,0,8,40,100,99.580887925,96.000000000,3.580887925
constant100,0,8,41,100,99.633276934,96.000000000,3.633276934
constant100,0,8,42,100,99.679117317,96.000000000,3.679117317
constant100,0,8,43,100,99.719227653,96.000000000,3.719227653
constant100,0,8,44,100,99.754324196,96.000000000,3.754324196
constant100,0,8,45,100,99.785033671,96.000000000,3.785033671
constant100,0,8,46,100,99.811904463,96.000000000,3.811904463
constant100,0,8,47,100,99.835416405,96.000000000,3.835416405
constant100,0,8,48,100,99.855989354,96.000000000,3.855989354
constant100,0,8,49,100,99.873990685,96.000000000,3.873990685
constant100,0,8,50,100,99.889741849,96.000000000,3.889741849
constant100,0,8,51,100,99.903524118,96.000000000,3.903524118
constant100,0,8,52,100,99.915583603,96.000000000,3.915583603
constant100,0,8,53,100,99.926135653,96.000000000,3.926135653
constant100,0,8,54,100,99.935368696,96.000000000,3.935368696
constant100,0,8,55,100,99.943447609,96.000000000,3.943447609
constant100,0,8,56,100,99.950516658,96.000000000,3.950516658
constant100,0,8,57,100,99.956702076,96.000000000,3.956702076
constant100,0,8,58,100,99.962114316,96.000000000,3.962114316
constant100,0,8,59,100,99.966850027,96.000000000,3.966850027
constant100,0,8,60,100,99.970993773,96.000000000,3.970993773
constant100,0,8,61,100,99.974619552,96.000000000,3.974619552
constant100,0,8,62,100,99.977792108,96.000000000,3.977792108
constant100,0,8,63,100,99.980568094,96.000000000,3.980568094
constant100,0,8,64,100,99.982997083,96.000000000,3.982997083
constant100,0,8,65,100,99.985122447,96.000000000,3.985122447
constant100,0,8,66,100,99.986982141,96.000000000,3.986982141
constant100,0,8,67,100,99.988609374,96.000000000,3.988609374
constant100,0,8,68,100,99.990033202,96.000000000,3.990033202
constant100,0,8,69,100,99.991279052,96.000000000,3.991279052
constant100,0,8,70,100,99.992369170,96.000000000,3.992369170
constant100,0,8,71,100,99.993323024,96.000000000,3.993323024
constant100,0,8,72,100,99.994157646,96.000000000,3.994157646
constant100,0,8,73,100,99.994887940,96.000000000,3.994887940
constant100,0,8,74,100,99.995526948,96.000000000,3.995526948
constant100,0,8,75,100,99.996086079,96.000000000,3.996086079
constant100,0,8,76,100,99.996575319,96.000000000,3.996575319
constant100,0,8,77,100,99.997003404,96.000000000,3.997003404
constant100,0,8,78,100,99.997377979,96.000000000,3.997377979
constant100,0,8,79,100,99.997705732,96.000000000,3.997705732
constant100,0,8,80,100,99.997992515,96.000000000,3.997992515
constant100,0,8,81,100,99.998243451,96.000000000,3.998243451
constant100,0,8,82,100,99.998463019,96.000000000,3.998463019
constant100,0,8,83,100,99.998655142,96.000000000,3.998655142
constant100,0,8,84,100,99.998823249,96.000000000,3.998823249
constant100,0,8,85,100,99.998970343,96.000000000,3.998970343
constant100,0,8,86,100,99.999099050,96.000000000,3.999099050
constant100,0,8,87,100,99.999211669,96.000000000,3.999211669
constant100,0,8,88,100,99.999310210,96.000000000,3.999310210
constant100,0,8,89,100,99.999396434,96.000000000,3.999396434
constant100,0,8,90,100,99.999471880,96.000000000,3.999471880
constant100,0,8,91,100,99.999537895,96.000000000,3.999537895
constant100,0,8,92,100,99.999595658,96.000000000,3.999595658
constant100,0,8,93,100,99.999646201,96.000000000,3.999646201
constant100,0,8,94,100,99.999690426,96.000000000,3.999690426
constant100,0,8,95,100,99.999729122,96.000000000,3.999729122
constant100,0,8,96,100,99.999762982,96.000000000,3.999762982
constant100,0,8,97,100,99.999792609,96.000000000,3.999792609
constant100,0,8,98,100,99.999818533,96.000000000,3.999818533
constant100,0,8,99,100,99.999841217,96.000000000,3.999841217
constant100,0,16,0,100,6.250000000,6.000000000,0.250000000
constant100,0,16,1,100,12.109375000,12.000000000,0.109375000
constant100,0,16,2,100,17.602539062,18.000000000,0.397460938
constant100,0,16,3,100,22.752380371,23.000000000,0.247619629
constant100,0,16,4,100,27.580356598,28.000000000,0.419643402
constant100,0,16,5,100,32.106584311,33.000000000,0.893415689
constant100,0,16,6,100,36.349922791,37.000000000,0.650077209
constant100,0,16,7,100,40.328052617,41.000000000,0.671947383
constant100,0,16,8,100,44.057549328,45.000000000,0.942450672
constant100,0,16,9,100,47.553952495,49.000000000,1.446047505
constant100,0,16,10,100,50.831830464,52.000000000,1.168169536
constant100,0,16,11,100,53.904841060,55.000000000,1.095158940
constant100,0,16,12,100,56.785788494,58.000000000,1.214211506
constant100,0,16,13,100,59.486676713,61.000000000,1.513323287
constant100,0,16,14,100,62.018759418,64.000000000,1.981240582
constant100,0,16,15,100,64.392586955,66.000000000,1.607413045
constant100,0,16,16,100,66.618050270,68.000000000,1.381949730
constant100,0,16,17,100,68.704422128,70.000000000,1.295577872
constant100,0,16,18,100,70.660395745,72.000000000,1.339604255
constant100,0,16,19,100,72.494121011,74.000000000,1.505878989
constant100,0,16,20,100,74.213238448,76.000000000,1.786761552
constant100,0,16,21,100,75.824911045,78.000000000,2.175088955
constant100,0,16,22,100,77.335854105,80.000000000,2.664145895
constant100,0,16,23,100,78.752363223,81.000000000,2.247636777
constant100,0,16,24,100,80.080340522,82.000000000,1.919659478
constant100,0,16,25,100,81.325319239,83.000000000,1.674680761
constant100,0,16,26,100,82.492486787,84.000000000,1.507513213
constant100,0,16,27,100,83.586706362,85.000000000,1.413293638
constant100,0,16,28,100,84.612537215,86.000000000,1.387462785
constant100,0,16,29,100,85.574253639,87.000000000,1.425746361
constant100,0,16,30,100,86.475862786,88.000000000,1.524137214
constant100,0,16,31,100,87.321121362,89.000000000,1.678878638
constant100,0,16,32,100,88.113551277,90.000000000,1.886448723
constant100,0,16,33,100,88.856454322,91.000000000,2.143545678
constant100,0,16,34,100,89.552925927,92.000000000,2.447074073
constant100,0,16,35,100,90.205868057,93.000000000,2.794131943
constant100,0,16,36,100,90.818001303,94.000000000,3.181998697
constant100,0,16,37,100,91.391876222,95.000000000,3.608123778
constant100,0,16,38,100,91.929883958,96.000000000,4.070116042
constant100,0,16,39,100,92.434266211,96.000000000,3.565733789
constant100,0,16,40,100,92.907124572,96.000000000,3.092875428
constant100,0,16,41,100,93.350429287,96.000000000,2.649570713
constant100,0,16,42,100,93.766027456,96.000000000,2.233972544
constant100,0,16,43,100,94.155650740,96.000000000,1.844349260
constant100,0,16,44,100,94.520922569,96.000000000,1.479077431
constant100,0,16,45,100,94.863364908,96.000000000,1.136635092
constant100,0,16,46,100,95.184404602,96.000000000,0.815595398
constant100,0,16,47,100,95.485379314,96.000000000,0.514620686
constant100,0,16,48,100,95.767543107,96.000000000,0.232456893
constant100,0,16,49,100,96.032071663,96.000000000,0.032071663
constant100,0,16,50,100,96.280067184,96.000000000,0.280067184
constant100,0,16,51,100,96.512562985,96.000000000,0.512562985
constant100,0,16,52,100,96.730527798,96.000000000,0.730527798
constant100,0,16,53,100,96.934869811,96.000000000,0.934869811
constant100,0,16,54,100,97.126440448,96.000000000,1.126440448
constant100,0,16,55,100,97.306037920,96.000000000,1.306037920
constant100,0,16,56,100,97.474410550,96.000000000,1.474410550
constant100,0,16,57,100,97.632259890,96.000000000,1.632259890
constant100,0,16,58,100,97.780243647,96.000000000,1.780243647
constant100,0,16,59,100,97.918978419,96.000000000,1.918978419
constant100,0,16,60,100,98.049042268,96.000000000,2.049042268
constant100,0,16,61,100,98.170977126,96.000000000,2.170977126
constant100,0,16,62,100,98.285291056,96.000000000,2.285291056
constant100,0,16,63,100,98.392460365,96.000000000,2.392460365
constant100,0,16,64,100,98.492931592,96.000000000,2.492931592
constant100,0,16,65,100,98.587123368,96.000000000,2.587123368
constant100,0,16,66,100,98.675428157,96.000000000,2.675428157
constant100,0,16,67,100,98.758213897,96.000000000,2.758213897
constant100,0,16,68,100,98.835825529,96.000000000,2.835825529
constant100,0,16,69,100,98.908586433,96.000000000,2.908586433
constant100,0,16,70,100,98.976799781,96.000000000,2.976799781
constant100,0,16,71,100,99.040749795,96.000000000,3.040749795
constant100,0,16,72,100,99.100702933,96.000000000,3.100702933
constant100,0,16,73,100,99.156908999,96.000000000,3.156908999
constant100,0,16,74,100,99.209602187,96.000000000,3.209602187
constant100,0,16,75,100,99.259002050,96.000000000,3.259002050
constant100,0,16,76,100,99.305314422,96.000000000,3.305314422
constant100,0,16,77,100,99.348732271,96.000000000,3.348732271
constant100,0,16,78,100,99.389436504,96.000000000,3.389436504
constant100,0,16,79,100,99.427596722,96.000000000,3.427596722
constant100,0,16,80,100,99.463371927,96.000000000,3.463371927
constant100,0,16,81,100,99.496911182,96.000000000,3.496911182
constant100,0,16,82,100,99.528354233,96.000000000,3.528354233
constant100,0,16,83,100,99.557832093,96.000000000,3.557832093
constant100,0,16,84,100,99.585467587,96.000000000,3.585467587
constant100,0,16,85,100,99.611375863,96.000000000,3.611375863
constant100,0,16,86,100,99.635664872,96.000000000,3.635664872
constant100,0,16,87,100,99.658435817,96.000000000,3.658435817
constant100,0,16,88,100,99.679783579,96.000000000,3.679783579
constant100,0,16,89,100,99.699797105,96.000000000,3.699797105
constant100,0,16,90,100,99.718559786,96.000000000,3.718559786
constant100,0,16,91,100,99.736149799,96.000000000,3.736149799
constant100,0,16,92,100,99.752640437,96.000000000,3.752640437
constant100,0,16,93,100,99.768100410,96.000000000,3.768100410
constant100,0,16,94,100,99.782594134,96.000000000,3.782594134
constant100,0,16,95,100,99.796182001,96.000000000,3.796182001
constant100,0,16,96,100,99.808920626,96.000000000,3.808920626
constant100,0,16,97,100,99.820863086,96.000000000,3.820863086
constant100,0,16,98,100,99.832059144,96.000000000,3.832059144
constant100,0,16,99,100,99.842555447,96.000000000,3.842555447
constant100,3,8,0,100,12.500000000,12.500000000,0.000000000
constant100,3,8,1,100,23.437500000,23.500000000,0.062500000
constant100,3,8,2,100,33.007812500,33.125000000,0.117187500
constant100,3,8,3,100,41.381835938,41.500000000,0.118164062
constant100,3,8,4,100,48.709106445,48.875000000,0.165893555
constant100,3,8,5,100,55.120468140,55.375000000,0.254531860
constant100,3,8,6,100,60.730409622,61.000000000,0.269590378
constant100,3,8,7,100,65.639108419,65.875000000,0.235891581
constant100,3,8,8,100,69.934219867,70.250000000,0.315780133
constant100,3,8,9,100,73.692442384,74.000000000,0.307557616
constant100,3,8,10,100,76.980887086,77.250000000,0.269112914
constant100,3,8,11,100,79.858276200,80.125000000,0.266723800
constant100,3,8,12,100,82.375991675,82.625000000,0.249008325
constant100,3,8,13,100,84.578992716,84.875000000,0.296007284
constant100,3,8,14,100,86.506618626,86.875000000,0.368381374
constant100,3,8,15,100,88.193291298,88.625000000,0.431708702
constant100,3,8,16,100,89.669129886,90.125000000,0.455870114
constant100,3,8,17,100,90.960488650,91.375000000,0.414511350
constant100,3,8,18,100,92.090427569,92.500000000,0.409572431
constant100,3,8,19,100,93.079124123,93.500000000,0.420875877
constant100,3,8,20,100,93.944233607,94.375000000,0.430766393
constant100,3,8,21,100,94.701204406,95.125000000,0.423795594
constant100,3,8,22,100,95.363553856,95.750000000,0.386446144
constant100,3,8,23,100,95.943109624,96.375000000,0.431890376
constant100,3,8,24,100,96.450220921,96.875000000,0.424779079
constant100,3,8,25,100,96.893943306,97.375000000,0.481056694
constant100,3,8,26,100,97.282200392,97.750000000,0.467799608
constant100,3,8,27,100,97.621925343,98.125000000,0.503074657
constant100,3,8,28,100,97.919184675,98.375000000,0.455815325
constant100,3,8,29,100,98.179286591,98.625000000,0.445713409
constant100,3,8,30,100,98.406875767,98.875000000,0.468124233
constant100,3,8,31,100,98.606016296,99.125000000,0.518983704
constant100,3,8,32,100,98.780264259,99.250000000,0.469735741
constant100,3,8,33,100,98.932731227,99.375000000,0.442268773
constant100,3,8,34,100,99.066139823,99.500000000,0.433860177
constant100,3,8,35,100,99.182872346,99.625000000,0.442127654
constant100,3,8,36,100,99.285013302,99.750000000,0.464986698
constant100,3,8,37,100,99.374386640,99.875000000,0.500613360
constant100,3,8,38,100,99.452588310,100.000000000,0.547411690
constant100,3,8,39,100,99.521014771,100.000000000,0.478985229
constant100,3,8,40,100,99.580887925,100.000000000,0.419112075
constant100,3,8,41,100,99.633276934,100.000000000,0.366723066
constant100,3,8,42,100,99.679117317,100.000000000,0.320882683
constant100,3,8,43,100,99.719227653,100.000000000,0.280772347
constant100,3,8,44,100,99.754324196,100.000000000,0.245675804
constant100,3,8,45,100,99.785033671,100.000000000,0.214966329
constant100,3,8,46,100,99.811904463,100.000000000,0.188095537
constant100,3,8,47,100,99.835416405,100.000000000,0.164583595
constant100,3,8,48,100,99.855989354,100.000000000,0.144010646
constant100,3,8,49,100,99.873990685,100.000000000,0.126009315
constant100,3,8,50,100,99.889741849,100.000000000,0.110258151
constant100,3,8,51,100,99.903524118,100.000000000,0.096475882
constant100,3,8,52,100,99.915583603,100.000000000,0.084416397
constant100,3,8,53,100,99.926135653,100.000000000,0.073864347
constant100,3,8,54,100,99.935368696,100.000000000,0.064631304
constant100,3,8,55,100,99.943447609,100.000000000,0.056552391
constant100,3,8,56,100,99.950516658,100.000000000,0.049483342
constant100,3,8,57,100,99.956702076,100.000000000,0.043297924
constant100,3,8,58,100,99.962114316,100.000000000,0.037885684
constant100,3,8,59,100,99.966850027,100.000000000,0.033149973
constant100,3,8,60,100,99.970993773,100.000000000,0.029006227
constant100,3,8,61,100,99.974619552,100.000000000,0.025380448
constant100,3,8,62,100,99.977792108,100.000000000,0.022207892
constant100,3,8,63,100,99.980568094,100.000000000,0.019431906
constant100,3,8,64,100,99.982997083,100.000000000,0.017002917
constant100,3,8,65,100,99.985122447,100.000000000,0.014877553
constant100,3,8,66,100,99.986982141,100.000000000,0.013017859
constant100,3,8,67,100,99.988609374,100.000000000,0.011390626
constant100,3,8,68,100,99.990033202,100.000000000,0.009966798
constant100,3,8,69,100,99.991279052,100.000000000,0.008720948
constant100,3,8,70,100,99.992369170,100.000000000,0.007630830
constant100,3,8,71,100,99.993323024,100.000000000,0.006676976
constant100,3,8,72,100,99.994157646,100.000000000,0.005842354
constant100,3,8,73,100,99.994887940,100.000000000,0.005112060
constant100,3,8,74,100,99.995526948,100.000000000,0.004473052
constant100,3,8,75,100,99.996086079,100.000000000,0.003913921
constant100,3,8,76,100,99.996575319,100.000000000,0.003424681
constant100,3,8,77,100,99.997003404,100.000000000,0.002996596
constant100,3,8,78,100,99.997377979,100.000000000,0.002622021
constant100,3,8,79,100,99.997705732,100.000000000,0.002294268
constant100,3,8,80,100,99.997992515,100.000000000,0.002007485
